scrip_code,isin,symbol,nse_symbol,company,group,market_cap_cr,market_cap_category,market_cap_date,macro_sector,sector,industry,basic_industry,primary_index,added_date,last_updated
524542,INE450E01029,SUKHJITS,SUKHJITS,Sukhjit Starch & Chemicals Ltd.,B,553.02,Micro Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,-,2026-03-13,2026-03-13
524570,INE371C01013,PODDARMENT,PODDARMENT,Poddar Pigments Ltd.,B,234.53,Micro Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,NIFTY 500,2026-03-13,2026-03-13
524598,INE542B01011,AKSHARCHEM,AKSHARCHEM,AksharChem (India) Ltd.,B,137.17,Micro Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,-,2026-03-13,2026-03-13
524648,INE760F01028,INDOAMIN,INDOAMIN,Indo Amines Ltd.,B,714.99,Micro Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,-,2026-03-13,2026-03-13
524654,INE936B01015,NATCAPSUQ,NATCAPSUQ,Natural Capsules Ltd.,B,156.83,Micro Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,-,2026-03-13,2026-03-13
524667,INE035D01020,SOTL,SOTL,Savita Oil Technologies Limited,B,2296.09,Micro Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants,NIFTY 500,2026-03-13,2026-03-13
524669,INE782E01017,HESTERBIO,HESTERBIO,Hester Biosciences Ltd,B,1214.57,Micro Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,NIFTY PHARMA,2026-03-13,2026-03-13
524709,INE295D01020,NACLIND,NACLIND,NACL Industries Limited,B,2789.44,Micro Cap,2026-03-13,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,-,2026-03-13,2026-03-13
524735,INE475B01022,HIKAL,HIKAL,Hikal Ltd.,B,2162.7,Micro Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,NIFTY PHARMA,2026-03-13,2026-03-13
524743,INE771F01041,FISCHER,FISCHER,FISCHER MEDICAL VENTURES LIMITED,B,2220.52,Micro Cap,2026-03-13,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,-,2026-03-13,2026-03-13
524774,INE887E01022,NGLFINE,NGLFINE,NGL Fine Chem Ltd.,B,1380.82,Micro Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,-,2026-03-13,2026-03-13
524820,INE305C01029,PANAMAPET,PANAMAPET,Panama Petrochem Ltd.,B,1616.39,Micro Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants,NIFTY 500,2026-03-13,2026-03-13
524824,INE083D01012,BALPHARMA,BALPHARMA,Bal Pharma Ltd.,B,113.99,Micro Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,NIFTY PHARMA,2026-03-13,2026-03-13
526027,INE144D01012,CUBEXTUB,CUBEXTUB,Cubex Tubings Ltd,B,129.09,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Aluminium Copper & Zinc Products,NIFTY METAL,2026-03-13,2026-03-13
526217,INE120D01012,HITECHCORP,HITECHCORP,Hitech Corporation Limited,B,225.09,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Packaging,NIFTY 500,2026-03-13,2026-03-13
526227,INE816B01035,FILATEX,FILATEX,Filatex India Ltd.,B,1833.52,Micro Cap,2026-03-13,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,NIFTY 500,2026-03-13,2026-03-13
526263,INE835B01035,MOLDTECH,MOLDTECH,Mold-Tek Technologies Ltd,B,373.17,Micro Cap,2026-03-13,Industrials,Construction,Construction,Civil Construction,NIFTY 500,2026-03-13,2026-03-13
526325,INE609C01024,ORIENTLTD,ORIENTLTD,Orient Press ltd.,B,73.74,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Packaging,-,2026-03-13,2026-03-13
526381,INE529D01014,PATINTLOG,PATINTLOG,Patel Integrated Logistics Ltd,B,68.19,Micro Cap,2026-03-13,Services,Services,Transport Services,Logistics Solution Provider,NIFTY 500,2026-03-13,2026-03-13
526397,INE137C01018,ALPHAGEO,ALPHAGEO,Alphageo (India)Ltd.,B,124.18,Micro Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling,-,2026-03-13,2026-03-13
526423,INE479D01038,KRITI,KRITI,Kriti Industries (India) Ltd.,B,430.63,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,-,2026-03-13,2026-03-13
526506,INE356B01024,SYSTMTXC,SYSTMTXC,Systematix Corporate Services Ltd.,B,926.96,Micro Cap,2026-03-13,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,-,2026-03-13,2026-03-13
526521,INE999B01013,SANGHIIND,SANGHIIND,Sanghi Industries Ltd.,B,1362.67,Micro Cap,2026-03-13,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,-,2026-03-13,2026-03-13
526550,INE652F01027,CCHHL,CCHHL,Country Club Hospitality & Holidays Ltd,B,206.29,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,NIFTY SERVICES SECTOR,2026-03-13,2026-03-13
526582,INE413G01022,TPLPLASTEH,TPLPLASTEH,TPL Plastech Limited,B,479.87,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Packaging,NIFTY 500,2026-03-13,2026-03-13
526596,INE557B01019,LIBERTSHOE,LIBERTSHOE,Liberty Shoes Ltd.,B,436.48,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,NIFTY 500,2026-03-13,2026-03-13
526608,INE822G01016,ELECTHERM,ELECTHERM,Electrotherm (India) Ltd,B,761.26,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,NIFTY METAL,2026-03-13,2026-03-13
526642,INE771A01026,MIRZAINT,MIRZAINT,Mirza International  Limited,B,428.56,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,NIFTY 500,2026-03-13,2026-03-13
